mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,split4_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_test_Precision,split1_test_Precision,split2_test_Precision,split3_test_Precision,split4_test_Precision,mean_test_Precision,std_test_Precision,rank_test_Precision,split0_test_Recall,split1_test_Recall,split2_test_Recall,split3_test_Recall,split4_test_Recall,mean_test_Recall,std_test_Recall,rank_test_Recall,split0_test_F1_Score,split1_test_F1_Score,split2_test_F1_Score,split3_test_F1_Score,split4_test_F1_Score,mean_test_F1_Score,std_test_F1_Score,rank_test_F1_Score
0.10601582527160644,0.009369564405845065,0.010736656188964844,0.004448644715590026,5,2,50,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 50}",0.9201388888888888,0.9131944444444444,0.9233449477351916,0.9616724738675958,0.926829268292683,0.9290360046457607,0.01692637371537227,36,0.9235198441659543,0.9144809670252974,0.9270380259127062,0.9624010601364607,0.9291345684143236,0.9313148931309485,0.01633119128945695,36,0.9203778742988975,0.912937184761434,0.9221735202547217,0.96127063580345,0.9272295201605546,0.9287977470558115,0.016871751026258295,36,0.9196093473598527,0.9124061497061154,0.9222321145719997,0.9612408766749649,0.9274490937220584,0.9285875164069983,0.01703157786719173,36
0.1979668140411377,0.0256269634136802,0.012002038955688476,0.0042799669412006466,5,2,100,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 100}",0.9479166666666666,0.9375,0.9303135888501742,0.9616724738675958,0.9372822299651568,0.9429369918699188,0.010924311999926146,30,0.9501396871008941,0.9392877763689776,0.9352940115440116,0.9621697083043023,0.9396740111534327,0.9453130388943236,0.009756302249474193,30,0.9474198256734407,0.937239437117079,0.9287574082902225,0.961755948702556,0.9378288633461048,0.9426002966258805,0.011254313079107708,30,0.9472638037147899,0.9370950225674773,0.928327313143931,0.96155216327035,0.9376927670044177,0.9423862139401932,0.011303117601937722,30
0.3343101978302002,0.03511264974967183,0.01938166618347168,0.008047889800560341,5,2,200,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 200}",0.9583333333333334,0.9340277777777778,0.9407665505226481,0.9686411149825784,0.9407665505226481,0.9485070654277973,0.012895087477574018,28,0.9594732567570443,0.9359822854424372,0.9449512082120778,0.9685982797328736,0.942629165215372,0.950326839071961,0.011928288301929005,28,0.9582755089429172,0.9333132640029191,0.9391260718846928,0.9685284354750427,0.9415243568691845,0.9481535274349513,0.013139753895136861,28,0.9580922349659472,0.9335564962312158,0.9393113822881626,0.9681662813385993,0.9411757772529695,0.9480604344153789,0.012955236339064133,28
0.08885116577148437,0.0049685279508834895,0.006684589385986328,0.0027109832110173582,5,5,50,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 50}",0.9305555555555556,0.8993055555555556,0.9442508710801394,0.9512195121951219,0.9303135888501742,0.9311290166473093,0.017829960914637583,34,0.9350648917110018,0.8987045784263528,0.9478329916083466,0.9526713691285439,0.9340461272598368,0.9336639916268163,0.018901376034450103,34,0.9302777630641923,0.8987481681586245,0.9425743477467616,0.9511309450241597,0.9303156358328772,0.930609371965323,0.017774296946154476,34,0.9298407452684943,0.8979825336266002,0.9427519627647467,0.950915788492642,0.9312920087899441,0.9305566077884855,0.01802967832894418,34
0.1791377544403076,0.04123724168824798,0.021985960006713868,0.012327897933823096,5,5,100,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 100}",0.9444444444444444,0.9305555555555556,0.9407665505226481,0.9616724738675958,0.926829268292683,0.9408536585365853,0.012239761842046157,32,0.9470609096955037,0.9321111962544111,0.9444219908444047,0.9621798833144775,0.9280544582616329,0.9427656876740859,0.012066828274293338,32,0.9441038249436469,0.9302024000800421,0.939002919175333,0.9618791014119157,0.9272121875570152,0.9404800866335906,0.012287386404941153,32,0.9438074064108507,0.930188023971031,0.9388321872787946,0.9616253259750916,0.9267767910496341,0.9402459469370804,0.012282837886392334,32
0.3213541030883789,0.028150449288795096,0.01856718063354492,0.006569595255691321,5,5,200,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 200}",0.9583333333333334,0.9340277777777778,0.9407665505226481,0.9686411149825784,0.9372822299651568,0.9478102013162989,0.01337960886938385,29,0.95958819928578,0.9350052994373073,0.9449998851722989,0.9683242109104178,0.9388425925925926,0.9493520374796794,0.012648643620598112,29,0.958053039532461,0.9334282065316548,0.939002919175333,0.968676336434957,0.9379529282977559,0.9474226859944324,0.013573034391375895,29,0.9578880068928667,0.9330505727295428,0.9389122505846645,0.9681540369972803,0.937735932851747,0.9471481600112203,0.013503728154425852,29
0.08821649551391601,0.008570627580587274,0.0073531150817871095,0.003399139738950426,5,10,50,"{'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 50}",0.9270833333333334,0.9027777777777778,0.9337979094076655,0.9512195121951219,0.9372822299651568,0.930432152535811,0.015914428893445354,35,0.9291007014192498,0.9082266365874379,0.937838019823314,0.9528347929209998,0.940027973072328,0.9336056247646658,0.01478721075084765,35,0.9272080677531178,0.9022120698483324,0.9323197144387356,0.9506621701949844,0.937220397737639,0.9299244839945618,0.01590204974324529,35,0.9266308986309826,0.9023000337421742,0.9331583653882708,0.9508900342606166,0.9377529028951042,0.9301464469834297,0.016031269742357298,35
0.1605207920074463,0.02358173824077069,0.01234893798828125,0.00307609087473965,5,10,100,"{'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.9479166666666666,0.9201388888888888,0.9337979094076655,0.9547038327526133,0.9337979094076655,0.9380710414247,0.01209683837042363,33,0.9491143670937886,0.9253399525293133,0.9363233525733525,0.9550245775729648,0.9354130479992548,0.9402430595537348,0.010563986802650444,33,0.9476752535150755,0.9194789919428408,0.9319832147418354,0.9546039691367835,0.9341169494617769,0.9375716757596624,0.012350648073526779,33,0.9469000516579861,0.9202321389747794,0.9316304927932313,0.9544589686647422,0.9339205496422525,0.9374284403465982,0.012011532704236891,33
0.3580150604248047,0.006026947237433238,0.015025949478149414,0.004058916590400881,5,10,200,"{'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 200}",0.9583333333333334,0.9305555555555556,0.9337979094076655,0.9616724738675958,0.9303135888501742,0.9429345722028648,0.014030243648110953,31,0.9585752382582194,0.9333210092984026,0.937915303087717,0.9613626092936439,0.9315406300945789,0.9445429580065123,0.012796280960831387,31,0.9585309367845518,0.9297245028279513,0.9317277869002007,0.9617468262796404,0.9306777960226235,0.9424815697629935,0.014466844629040434,31,0.9578695954935161,0.9299828944149887,0.9316457519898005,0.9612069704371494,0.9306496359728529,0.9422709696616615,0.014148050705029579,31
0.10381994247436524,0.017761271479284198,0.007332038879394531,0.0036798927240313897,10,2,50,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 50}",0.9791666666666666,0.9652777777777778,0.9616724738675958,0.9930313588850174,0.9512195121951219,0.9700735578784359,0.014551962152589214,16,0.9801121794871795,0.9668297115843,0.9637258942038354,0.9929629629629628,0.9530244068953746,0.9713310310267305,0.013843998826081541,15,0.9791871921182265,0.9652362707535123,0.9605555555555556,0.9927248677248676,0.9516566320014596,0.9698721036307243,0.014485248506335521,15,0.9790286598306371,0.9654412507251721,0.9609238038649803,0.9927831992238773,0.9517900241096487,0.9699933875508631,0.014389950658352432,15
