mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.10442290306091309,0.007076055998281092,0.004711294174194336,0.0021690295231373198,5,2,50,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 50}",0.9201388888888888,0.9131944444444444,0.9233449477351916,0.9616724738675958,0.926829268292683,0.9290360046457607,0.01692637371537227,36
0.18202786445617675,0.017864672519651285,0.007696533203125,0.0025171865342054132,5,2,100,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 100}",0.9479166666666666,0.9375,0.9303135888501742,0.9616724738675958,0.9372822299651568,0.9429369918699188,0.010924311999926146,30
0.3557136535644531,0.04735768945585526,0.013182687759399413,0.002734623484697832,5,2,200,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 200}",0.9583333333333334,0.9340277777777778,0.9407665505226481,0.9686411149825784,0.9407665505226481,0.9485070654277973,0.012895087477574018,28
0.09012980461120605,0.016007821994139273,0.003559398651123047,0.0019535428769891115,5,5,50,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 50}",0.9305555555555556,0.8993055555555556,0.9442508710801394,0.9512195121951219,0.9303135888501742,0.9311290166473093,0.017829960914637583,34
0.1597447395324707,0.015474243956892652,0.0071868896484375,0.003041132478810623,5,5,100,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 100}",0.9444444444444444,0.9305555555555556,0.9407665505226481,0.9616724738675958,0.926829268292683,0.9408536585365853,0.012239761842046157,32
0.3250795841217041,0.022143695502101417,0.014458656311035156,0.0029139943097145292,5,5,200,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 200}",0.9583333333333334,0.9340277777777778,0.9407665505226481,0.9686411149825784,0.9372822299651568,0.9478102013162989,0.01337960886938385,29
0.09157934188842773,0.012585665792292857,0.004278039932250977,0.0021337641194044917,5,10,50,"{'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 50}",0.9270833333333334,0.9027777777777778,0.9337979094076655,0.9512195121951219,0.9372822299651568,0.930432152535811,0.015914428893445354,35
0.1648860454559326,0.007374207703111977,0.006430149078369141,0.0022004403211914533,5,10,100,"{'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.9479166666666666,0.9201388888888888,0.9337979094076655,0.9547038327526133,0.9337979094076655,0.9380710414247,0.01209683837042363,33
0.33963603973388673,0.020378402449957703,0.015167331695556641,0.004762914564380403,5,10,200,"{'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 200}",0.9583333333333334,0.9305555555555556,0.9337979094076655,0.9616724738675958,0.9303135888501742,0.9429345722028648,0.014030243648110953,31
0.11321830749511719,0.0033990066375745127,0.0054188728332519535,0.0023033211338925326,10,2,50,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 50}",0.9791666666666666,0.9652777777777778,0.9616724738675958,0.9930313588850174,0.9512195121951219,0.9700735578784359,0.014551962152589214,16
0.21952810287475585,0.020345600904038558,0.007955217361450195,0.003200800755594303,10,2,100,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}",0.9791666666666666,0.9583333333333334,0.9616724738675958,0.9895470383275261,0.9651567944250871,0.9707752613240418,0.011764563548135811,13
0.45023283958435056,0.023622372785564383,0.017558956146240236,0.0016553986400465858,10,2,200,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 200}",0.9756944444444444,0.96875,0.9651567944250871,0.9895470383275261,0.9686411149825784,0.9735578784359273,0.00869582220167708,5
0.11222915649414063,0.007174033092375926,0.0038474559783935546,0.0015005521367445907,10,5,50,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 50}",0.9722222222222222,0.9583333333333334,0.9581881533101045,0.9860627177700348,0.9651567944250871,0.9679926442121565,0.010410468395296706,24
0.21606721878051757,0.01617856238087039,0.01030268669128418,0.00367008540683446,10,5,100,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}",0.9722222222222222,0.9652777777777778,0.9581881533101045,0.9790940766550522,0.9686411149825784,0.9686846689895472,0.00696642945718715,23
0.44001140594482424,0.010235048820564304,0.01617403030395508,0.002944765853635274,10,5,200,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 200}",0.9722222222222222,0.96875,0.9651567944250871,0.9860627177700348,0.975609756097561,0.9735602981029811,0.007156242932842212,3
0.1069948673248291,0.008617890011066569,0.003905582427978516,0.001577679871461451,10,10,50,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 50}",0.96875,0.9618055555555556,0.9616724738675958,0.9790940766550522,0.9477351916376306,0.9638114595431668,0.010246881163853278,27
0.22142515182495118,0.04403543631055036,0.0071297168731689455,0.0019614877505224827,10,10,100,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 100}",0.96875,0.9652777777777778,0.9651567944250871,0.9825783972125436,0.9616724738675958,0.9686870886566007,0.007297446264292534,22
0.4034116268157959,0.025976100878774274,0.014474439620971679,0.004608833215311844,10,10,200,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 200}",0.96875,0.9652777777777778,0.9616724738675958,0.9895470383275261,0.9651567944250871,0.9700808168795974,0.009987194450699628,15
0.12550992965698243,0.030365378889889504,0.004043674468994141,0.0020984975102891013,15,2,50,"{'max_depth': 15, 'min_samples_split': 2, 'n_estimators': 50}",0.9756944444444444,0.9756944444444444,0.9547038327526133,0.9895470383275261,0.9686411149825784,0.9728561749903214,0.01133111402743275,9
0.23105030059814452,0.00937084139659736,0.007689619064331054,0.004048494715984026,15,2,100,"{'max_depth': 15, 'min_samples_split': 2, 'n_estimators': 100}",0.9791666666666666,0.96875,0.9616724738675958,0.9860627177700348,0.9651567944250871,0.972161730545877,0.009088895608372092,10
0.454347038269043,0.04645312752825033,0.014025449752807617,0.0036617515899553107,15,2,200,"{'max_depth': 15, 'min_samples_split': 2, 'n_estimators': 200}",0.9791666666666666,0.96875,0.9651567944250871,0.9825783972125436,0.9721254355400697,0.9735554587688734,0.006458700107674405,8
0.10988764762878418,0.01619756334125827,0.006188774108886718,0.0021856323952173426,15,5,50,"{'max_depth': 15, 'min_samples_split': 5, 'n_estimators': 50}",0.9756944444444444,0.9722222222222222,0.9581881533101045,0.9825783972125436,0.9581881533101045,0.9693742740998837,0.009722785871478753,18
0.21274151802062988,0.02146358202324749,0.012420654296875,0.004575427870996151,15,5,100,"{'max_depth': 15, 'min_samples_split': 5, 'n_estimators': 100}",0.9756944444444444,0.96875,0.9581881533101045,0.9930313588850174,0.9721254355400697,0.9735578784359273,0.011359378444771872,5
0.4445394515991211,0.039642625117639274,0.017104148864746094,0.001956636724200835,15,5,200,"{'max_depth': 15, 'min_samples_split': 5, 'n_estimators': 200}",0.9791666666666666,0.9652777777777778,0.9686411149825784,0.9860627177700348,0.975609756097561,0.9749516066589237,0.007417033801929523,1
