mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_l1_ratio,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.0015942573547363282,0.00029486525701946425,0.0007912635803222657,0.00017854889619082465,0.01,0.2,"{'alpha': 0.01, 'l1_ratio': 0.2}",-0.48688800127775234,-0.5052043898376264,-0.430966377801845,-0.46954530094978325,-0.33865234543085704,-0.44625128305957285,0.05912796739845492,1
0.0010987281799316405,0.00015317087266183293,0.0006837844848632812,0.00012368387479304104,0.01,0.5,"{'alpha': 0.01, 'l1_ratio': 0.5}",-0.49027868827030635,-0.5052118114322309,-0.4321925716013852,-0.4677988834893874,-0.33856727929306524,-0.4468098468172751,0.0594491168438166,2
0.0011438846588134766,0.00019772657498778735,0.0006598472595214844,0.0001742899889765074,0.01,0.8,"{'alpha': 0.01, 'l1_ratio': 0.8}",-0.4936404954922463,-0.5052255695305081,-0.43250187100690096,-0.467012055779821,-0.33951954970689374,-0.447579908303274,0.05954258411382117,3
0.0011634349822998047,0.000195055040807026,0.0005856513977050781,3.413188254288753e-05,0.1,0.2,"{'alpha': 0.1, 'l1_ratio': 0.2}",-0.5291824042338279,-0.5284905343824123,-0.4620438762305196,-0.5055364170503149,-0.3862301749670223,-0.4822966813728195,0.05387240137134794,4
0.0010149955749511718,0.00021704501313895875,0.0005491733551025391,2.9259545539864147e-05,0.1,0.5,"{'alpha': 0.1, 'l1_ratio': 0.5}",-0.5460661536225134,-0.5413056306700506,-0.47057066435631056,-0.5193430976501282,-0.4037861686528745,-0.4962143429903755,0.05339275644743483,5
0.0008649826049804688,3.80484978881829e-05,0.0005897998809814454,0.0001359796616850255,0.1,0.8,"{'alpha': 0.1, 'l1_ratio': 0.8}",-0.5539675244648217,-0.5452079360732853,-0.4701041997734508,-0.522778249354081,-0.4115906780527456,-0.5007297175436769,0.053258622709182676,6
0.0010216712951660156,0.0002765927383609286,0.0005617618560791015,7.577367054089114e-05,0.5,0.2,"{'alpha': 0.5, 'l1_ratio': 0.2}",-0.5722997070879241,-0.5651976437707431,-0.48983275996835823,-0.5464758004208526,-0.4492060192570003,-0.5246023861009756,0.04752892732492309,7
0.0008536338806152344,7.476140620287294e-05,0.0005051612854003907,9.0917229374103e-06,0.5,0.5,"{'alpha': 0.5, 'l1_ratio': 0.5}",-0.6043342446853717,-0.6069298143575552,-0.5384308351850132,-0.5869507337139993,-0.5128273659730213,-0.5698945987829921,0.03767026843986459,8
0.000999784469604492,0.00016070463502721228,0.0005922317504882812,8.356222575339684e-05,0.5,0.8,"{'alpha': 0.5, 'l1_ratio': 0.8}",-0.6610157896692767,-0.6700816174688767,-0.6076125998191245,-0.6461365979065327,-0.580941715263429,-0.6331576640254479,0.03372524821967183,10
0.0007959365844726563,8.112680450615441e-06,0.000499105453491211,8.780280086408535e-06,1.0,0.2,"{'alpha': 1.0, 'l1_ratio': 0.2}",-0.6057076312586858,-0.6080119699867299,-0.5380043418138013,-0.5886505478163048,-0.5109804324444739,-0.5702709846639992,0.03892159313284943,9
0.0008796215057373047,9.356677524412232e-05,0.0005496501922607422,3.063158258243553e-05,1.0,0.5,"{'alpha': 1.0, 'l1_ratio': 0.5}",-0.66394258543741,-0.6725418565090704,-0.6105310477500068,-0.6466591480729217,-0.5831626350918464,-0.6353674545722511,0.03366947248252014,11
0.0008503913879394532,0.00010247733093619219,0.0005196094512939453,2.651257480302006e-05,1.0,0.8,"{'alpha': 1.0, 'l1_ratio': 0.8}",-0.6647952872208883,-0.6744731791221193,-0.6116515618818056,-0.6454360571421476,-0.5838793010303669,-0.6360470772794655,0.03378696751948436,12
